,name,chrom,txStart,txEnd,name2,start,end
385,NM_003101,chr1,179262931,179327814,SOAT1,179252931,179337814
397,NM_001252512,chr1,179262848,179327814,SOAT1,179252848,179337814
398,NM_001252511,chr1,179262848,179327814,SOAT1,179252848,179337814
402,NR_045530,chr1,179262931,179327814,SOAT1,179252931,179337814
403,NM_000963,chr1,186640922,186649555,PTGS2,186630922,186659555
465,NM_001291940,chr1,236958591,237067281,MTR,236948591,237077281
472,NM_001291939,chr1,236958580,237067281,MTR,236948580,237077281
482,NM_000254,chr1,236958591,237067281,MTR,236948591,237077281
509,NM_003820,chr1,2487803,2497061,TNFRSF14,2477803,2507061
510,NM_001297605,chr1,2487803,2497061,TNFRSF14,2477803,2507061
586,NM_001243,chr1,12123359,12204264,TNFRSF8,12113359,12214264
591,NM_001281430,chr1,12123433,12204264,TNFRSF8,12113433,12214264
648,NM_001113348,chr1,21543742,21671997,ECE1,21533742,21681997
673,NM_005529,chr1,22148736,22263803,HSPG2,22138736,22273803
678,NM_001291860,chr1,22148736,22263803,HSPG2,22138736,22273803
1005,NM_001018054,chr1,53708040,53793742,LRP8,53698040,53803742
1010,NM_004631,chr1,53708040,53793742,LRP8,53698040,53803742
1011,NM_017522,chr1,53708040,53793742,LRP8,53698040,53803742
1018,NM_033300,chr1,53708040,53793742,LRP8,53698040,53803742
1327,NM_001854,chr1,103342028,103574078,COL11A1,103332028,103584078
1328,NM_080630,chr1,103342028,103574078,COL11A1,103332028,103584078
1329,NM_001190709,chr1,103342022,103574052,COL11A1,103332022,103584052
1330,NR_134980,chr1,103342028,103574078,COL11A1,103332028,103584078
1331,NM_080629,chr1,103342022,103574052,COL11A1,103332022,103584052
1355,NM_146421,chr1,110230438,110236367,GSTM1,110220438,110246367
1356,NM_000561,chr1,110230438,110236367,GSTM1,110220438,110246367
1424,NM_002506,chr1,115828537,115880870,NGF,115818537,115890870
1551,NM_001199739,chr1,150702663,150738254,CTSS,150692663,150748254
1552,NM_004079,chr1,150702663,150738254,CTSS,150692663,150748254
1607,NM_001257374,chr1,156095960,156109872,LMNA,156085960,156119872
1608,NM_001282624,chr1,156095960,156107657,LMNA,156085960,156117657
1618,NM_005572,chr1,156084501,156107657,LMNA,156074501,156117657
